from,to,reason,strength,confidence,divergence,status
ludwig-van-beethoven-1770,franz-schubert-1797,"Beethoven's dramatic intensity and expansion of classical forms shaped Schubert's late symphonies and sonatas.",0.90,1.00,0.50,pending
antonio-salieri-1750,franz-schubert-1797,"Salieri was Schubert's teacher and influenced his early compositional technique and operatic style.",0.60,0.85,0.60,pending
carl-philipp-emanuel-bach-1714,franz-schubert-1797,"C.P.E. Bach's expressive style and keyboard works influenced Schubert's piano compositions and harmonic language.",0.50,0.70,0.50,pending
gioachino-rossini-1792,gaetano-donizetti-1797,"Rossini's operatic style and success in Italian opera significantly shaped Donizetti's compositional approach and career path.",0.90,0.95,0.30,pending
luigi-cherubini-1760,gaetano-donizetti-1797,"Cherubini's mastery of classical forms and dramatic expression influenced Donizetti's operatic writing and orchestration.",0.70,0.85,0.40,pending
wolfgang-amadeus-mozart-1756,gaetano-donizetti-1797,"Mozart's operas provided a foundational model for melodic invention and dramatic structure that Donizetti admired and emulated.",0.80,0.90,0.35,pending
ludwig-van-beethoven-1770,gaetano-donizetti-1797,"Beethoven's innovations in harmony and dramatic intensity influenced the broader musical environment in which Donizetti composed.",0.50,0.80,0.60,pending
gioachino-rossini-1792,vincenzo-bellini-1801,"Rossini's operatic style and success in Italian opera significantly influenced Bellini's melodic and dramatic approach.",0.90,0.95,0.30,pending
luigi-cherubini-1760,vincenzo-bellini-1801,"Cherubini's mastery of classical form and dramatic expression impacted Bellini's compositional technique and operatic structure.",0.60,0.80,0.40,pending
wolfgang-amadeus-mozart-1756,vincenzo-bellini-1801,"Mozart's operatic works provided a foundational influence on Bellini's sense of melody and operatic drama.",0.70,0.85,0.50,pending
luigi-boccherini-1743,vincenzo-bellini-1801,"Boccherini's elegant melodic style and classical forms influenced Bellini's early musical education and compositional style.",0.40,0.70,0.60,pending
ludwig-van-beethoven-1770,hector-berlioz-1803,"Berlioz was deeply influenced by Beethoven's symphonic innovations and dramatic intensity, which shaped his approach to orchestration and programmatic music.",0.90,1.00,0.40,pending
christoph-willibald-von-gluck-1714,hector-berlioz-1803,"Berlioz admired Gluck's operatic reforms and dramatic expressiveness, which influenced his own operatic compositions and ideas about musical drama.",0.70,0.90,0.50,pending
gioachino-rossini-1792,hector-berlioz-1803,"Rossini's operatic style and orchestration techniques influenced Berlioz, especially in his early operatic works and his understanding of vocal writing.",0.60,0.80,0.50,pending
franz-schubert-1797,hector-berlioz-1803,"Schubert's lyrical melodies and harmonic language had an impact on Berlioz's melodic development and emotional expression.",0.50,0.70,0.60,pending
luigi-cherubini-1760,hector-berlioz-1803,"Cherubini was Berlioz's teacher and mentor, influencing his compositional technique and understanding of classical forms.",0.80,0.95,0.30,pending
ludwig-van-beethoven-1770,mikhail-ivanovich-glinka-1804,"Beethoven's symphonic and dramatic style influenced Glinka's approach to orchestration and nationalistic themes.",0.80,0.90,0.40,pending
gioachino-rossini-1792,mikhail-ivanovich-glinka-1804,"Rossini's operatic style and melodic invention had a strong impact on Glinka's operas, especially in vocal writing and dramatic pacing.",0.70,0.85,0.50,pending
franz-schubert-1797,mikhail-ivanovich-glinka-1804,"Schubert's lyrical melodies and harmonic language influenced Glinka's melodic development and song-like qualities in his compositions.",0.60,0.80,0.50,pending
luigi-cherubini-1760,mikhail-ivanovich-glinka-1804,"Cherubini's mastery of classical forms and dramatic expression influenced Glinka's compositional technique and operatic structure.",0.50,0.70,0.60,pending
johann-sebastian-bach-1685,felix-mendelssohn-1809,"Mendelssohn was deeply influenced by Bach, notably reviving Bach's music such as the St. Matthew Passion and incorporating Baroque contrapuntal techniques into his compositions.",0.90,1.00,0.30,pending
ludwig-van-beethoven-1770,felix-mendelssohn-1809,"Beethoven's symphonic and structural innovations influenced Mendelssohn's approach to form and orchestration, especially in his symphonies and concertos.",0.80,1.00,0.40,pending
wolfgang-amadeus-mozart-1756,felix-mendelssohn-1809,"Mozart's clarity, balance, and melodic grace shaped Mendelssohn's classical style and his emphasis on formal elegance.",0.70,0.90,0.40,pending
franz-schubert-1797,felix-mendelssohn-1809,"Schubert's lyrical melodies and harmonic language influenced Mendelssohn's song writing and expressive chamber music.",0.60,0.80,0.50,pending
carl-philipp-emanuel-bach-1714,felix-mendelssohn-1809,"C.P.E. Bach's expressive style and empfindsamer Stil contributed to Mendelssohn's sensitivity in keyboard and chamber works.",0.50,0.70,0.50,pending
luigi-cherubini-1760,felix-mendelssohn-1809,"Cherubini's mastery of counterpoint and classical form influenced Mendelssohn's compositional technique and his sacred music.",0.40,0.70,0.50,pending
ludwig-van-beethoven-1770,robert-schumann-1810,"Beethoven's innovative structures and emotional depth profoundly shaped Schumann's compositional approach and artistic ideals.",0.90,1.00,0.30,pending
franz-schubert-1797,robert-schumann-1810,"Schumann admired Schubert's lyrical melodies and song cycles, influencing his own Lieder and expressive style.",0.80,1.00,0.40,pending
felix-mendelssohn-1809,robert-schumann-1810,"Mendelssohn's clarity, classical balance, and revival of earlier music inspired Schumann's compositional and editorial work.",0.70,1.00,0.40,pending
carl-maria-von-weber-1786,robert-schumann-1810,"Weber's Romantic operatic style and orchestration influenced Schumann's dramatic and programmatic compositions.",0.60,0.90,0.50,pending
franz-liszt-1811,robert-schumann-1810,"Though contemporaries, Liszt's virtuosic piano style and thematic transformation techniques influenced Schumann's piano works.",0.50,0.80,0.60,pending
hector-berlioz-1803,robert-schumann-1810,"Berlioz's innovative orchestration and program music had an impact on Schumann's symphonic and orchestral writing.",0.50,0.80,0.60,pending
john-field-1782,frederic-chopin-1810,"John Field's development of the nocturne form directly influenced Chopin's own nocturnes, shaping his lyrical piano style.",0.90,0.95,0.30,pending
ludwig-van-beethoven-1770,frederic-chopin-1810,"Beethoven's innovations in piano composition and expressive depth influenced Chopin's approach to piano music and emotional expression.",0.80,0.90,0.40,pending
franz-schubert-1797,frederic-chopin-1810,"Schubert's melodic lyricism and harmonic language influenced Chopin's melodic writing and song-like piano pieces.",0.70,0.85,0.40,pending
franz-joseph-haydn-1732,frederic-chopin-1810,"Haydn's classical forms and clarity of structure provided a foundation that Chopin built upon in his own compositions.",0.60,0.80,0.50,pending
wolfgang-amadeus-mozart-1756,frederic-chopin-1810,"Mozart's elegance, clarity, and melodic grace influenced Chopin's compositional style and pianistic expression.",0.70,0.90,0.40,pending
carl-philipp-emanuel-bach-1714,frederic-chopin-1810,"C.P.E. Bach's expressive keyboard style and use of empfindsamer Stil influenced Chopin's nuanced and expressive piano writing.",0.70,0.85,0.40,pending
fernando-sor-1778,frederic-chopin-1810,"Sor's guitar compositions and teaching influenced Chopin's early musical education and understanding of instrumental technique.",0.50,0.70,0.60,pending
ludwig-van-beethoven-1770,franz-liszt-1811,"Liszt was deeply influenced by Beethoven's symphonic and piano works, adopting and expanding upon Beethoven's dramatic and structural innovations.",0.90,1.00,0.30,pending
franz-schubert-1797,franz-liszt-1811,"Liszt admired Schubert's melodic gift and harmonic language, often transcribing and promoting Schubert's lieder and piano works.",0.70,0.90,0.40,pending
hector-berlioz-1803,franz-liszt-1811,"Berlioz's orchestration and programmatic music influenced Liszt's own symphonic poems and orchestral writing.",0.70,0.90,0.50,pending
frederic-chopin-1810,franz-liszt-1811,"Chopin's piano style and poetic expression influenced Liszt's piano compositions and performance style.",0.80,0.95,0.40,pending
niccolo-paganini-1782,franz-liszt-1811,"Paganini's virtuosic violin technique inspired Liszt to develop unprecedented piano virtuosity and technical innovations.",0.85,1.00,0.30,pending
richard-wagner-1813,franz-liszt-1811,"Wagner's harmonic language and leitmotif technique influenced Liszt's late harmonic experiments and thematic transformations.",0.60,0.90,0.60,pending
franz-joseph-haydn-1732,franz-liszt-1811,"Haydn's classical forms and clarity provided a foundation for Liszt's early compositional training and understanding of structure.",0.50,0.80,0.50,pending
wolfgang-amadeus-mozart-1756,franz-liszt-1811,"Mozart's melodic elegance and formal balance influenced Liszt's compositional style and aesthetic ideals.",0.60,0.90,0.50,pending
gioachino-rossini-1792,giuseppe-verdi-1813,"Rossini's operatic style and success in Italian opera significantly influenced Verdi's early compositional approach and operatic development.",0.90,1.00,0.30,pending
gaetano-donizetti-1797,giuseppe-verdi-1813,"Donizetti's bel canto style and melodic lyricism shaped Verdi's vocal writing and dramatic sensibility in his operas.",0.85,1.00,0.40,pending
vincenzo-bellini-1801,giuseppe-verdi-1813,"Bellini's emphasis on long, expressive melodic lines influenced Verdi's approach to vocal melody and emotional expression.",0.80,0.90,0.40,pending
ludwig-van-beethoven-1770,giuseppe-verdi-1813,"Beethoven's dramatic intensity and structural innovations in music inspired Verdi's operatic drama and orchestration.",0.70,0.90,0.50,pending
hector-berlioz-1803,giuseppe-verdi-1813,"Berlioz's orchestration techniques and programmatic elements influenced Verdi's use of the orchestra to enhance drama.",0.60,0.80,0.60,pending
richard-wagner-1813,giuseppe-verdi-1813,"Wagner's innovations in leitmotif and music drama were known to Verdi, who responded to and diverged from Wagnerian ideals in his own operas.",0.50,0.80,0.70,pending
ludwig-van-beethoven-1770,richard-wagner-1813,"Beethoven's symphonic and dramatic innovations deeply influenced Wagner's approach to opera and orchestration.",0.90,1.00,0.30,pending
carl-maria-von-weber-1786,richard-wagner-1813,"Weber's German Romantic operas, especially Der Freischütz, inspired Wagner's development of German opera and leitmotif technique.",0.80,0.90,0.40,pending
franz-schubert-1797,richard-wagner-1813,"Schubert's melodic and harmonic language influenced Wagner's early compositional style and his use of lyrical themes.",0.60,0.80,0.50,pending
hector-berlioz-1803,richard-wagner-1813,"Berlioz's orchestration and programmatic music had a significant impact on Wagner's orchestral writing and dramatic conception.",0.70,0.90,0.50,pending
franz-liszt-1811,richard-wagner-1813,"Liszt was both a close friend and advocate of Wagner, influencing his harmonic language and the development of the symphonic poem.",0.70,1.00,0.40,pending
giuseppe-verdi-1813,richard-wagner-1813,"Though contemporaries, Verdi's Italian operatic style contrasted with Wagner's, but early Italian opera traditions influenced Wagner's operatic foundations.",0.40,0.70,0.70,pending
luigi-cherubini-1760,charles-gounod-1818,"Cherubini was Gounod's teacher and had a strong impact on his compositional technique and style, especially in sacred music and opera.",0.90,1.00,0.30,pending
giuseppe-verdi-1813,charles-gounod-1818,"Verdi's operatic style influenced Gounod's approach to melody and drama in opera, though Gounod maintained a more lyrical and French style.",0.70,0.90,0.50,pending
hector-berlioz-1803,charles-gounod-1818,"Berlioz's innovative orchestration and dramatic expression influenced Gounod's orchestral and vocal writing.",0.60,0.80,0.60,pending
franz-schubert-1797,charles-gounod-1818,"Schubert's melodic gift and song composition influenced Gounod's art songs and lyrical style.",0.50,0.70,0.40,pending
felix-mendelssohn-1809,charles-gounod-1818,"Mendelssohn's classical clarity and romantic expressiveness shaped Gounod's compositional approach, especially in sacred and choral music.",0.50,0.70,0.40,pending
gioachino-rossini-1792,jacques-offenbach-1819,"Offenbach was heavily influenced by Rossini's operatic style, particularly in his use of melody and comic opera elements.",0.90,0.95,0.30,pending
jacques-offenbach-1819,jacques-offenbach-1819,"Offenbach's own early works and self-development shaped his mature style, building on the operetta tradition.",0.80,1.00,0.00,pending
franz-liszt-1811,jacques-offenbach-1819,"Liszt's innovations in orchestration and thematic transformation influenced Offenbach's approach to orchestral color and dramatic effect.",0.60,0.70,0.50,pending
giuseppe-verdi-1813,jacques-offenbach-1819,"Verdi's operatic drama and melodic style had an impact on Offenbach's operettas, especially in their dramatic pacing and vocal writing.",0.70,0.80,0.40,pending
hector-berlioz-1803,jacques-offenbach-1819,"Berlioz's orchestration techniques and theatrical sensibility influenced Offenbach's orchestral writing and stagecraft.",0.50,0.60,0.60,pending
ludwig-van-beethoven-1770,cesar-franck-1822,"Franck was deeply influenced by Beethoven's structural innovations and emotional depth, which shaped his symphonic and chamber works.",0.90,1.00,0.30,pending
franz-liszt-1811,cesar-franck-1822,"Liszt's harmonic language and thematic transformation techniques influenced Franck's compositional style, especially in his organ and symphonic works.",0.80,0.90,0.40,pending
richard-wagner-1813,cesar-franck-1822,"Wagner's chromaticism and leitmotif technique had a notable impact on Franck's harmonic and thematic development.",0.70,0.85,0.50,pending
felix-mendelssohn-1809,cesar-franck-1822,"Mendelssohn's clarity of form and lyrical style influenced Franck's approach to melody and classical structures.",0.60,0.80,0.40,pending
robert-schumann-1810,cesar-franck-1822,"Schumann's romantic expressiveness and piano writing influenced Franck's harmonic language and emotional expression.",0.60,0.80,0.40,pending
luigi-cherubini-1760,cesar-franck-1822,"Cherubini's mastery of counterpoint and classical form was part of Franck's academic training and compositional foundation.",0.50,0.70,0.30,pending
camille-saint-saens-1835,cesar-franck-1822,"Saint-Saëns, as a contemporary and friend, influenced Franck's orchestration and French musical aesthetics.",0.50,0.75,0.30,pending
hector-berlioz-1803,edouard-lalo-1823,"Berlioz's innovative orchestration and dramatic style influenced Lalo's approach to orchestral color and form.",0.80,0.90,0.40,pending
franz-liszt-1811,edouard-lalo-1823,"Liszt's harmonic innovations and virtuosic piano writing impacted Lalo's compositional style, especially in his violin works.",0.70,0.80,0.50,pending
giuseppe-verdi-1813,edouard-lalo-1823,"Verdi's operatic melodies and dramatic intensity influenced Lalo's melodic writing and dramatic sensibility.",0.60,0.70,0.50,pending
richard-wagner-1813,edouard-lalo-1823,"Wagner's harmonic language and leitmotif technique had an impact on Lalo's orchestral and operatic compositions.",0.60,0.70,0.60,pending
camille-saint-saens-1835,edouard-lalo-1823,"Saint-Saëns, a contemporary and friend, influenced Lalo's classical forms and French orchestral style.",0.70,0.90,0.30,pending
johannes-brahms-1833,edouard-lalo-1823,"Brahms' structural rigor and romantic expressiveness influenced Lalo's chamber music and symphonic works.",0.50,0.70,0.40,pending
richard-wagner-1813,bedrich-smetana-1824,"Smetana was heavily influenced by Wagner's use of leitmotifs and his approach to music drama, which shaped Smetana's own operatic style.",0.90,0.95,0.30,pending
franz-liszt-1811,bedrich-smetana-1824,"Liszt's innovations in symphonic poem form and his virtuosic piano style influenced Smetana's orchestral and piano compositions.",0.70,0.85,0.40,pending
hector-berlioz-1803,bedrich-smetana-1824,"Berlioz's orchestration techniques and programmatic music had an impact on Smetana's symphonic works.",0.60,0.80,0.50,pending
antonin-dvorak-1841,bedrich-smetana-1824,"Though Dvořák was younger, his early works and shared Czech nationalist ideals were influenced by Smetana, but Smetana was also aware of Dvořák's style and folk influences.",0.40,0.70,0.60,pending
richard-wagner-1813,anton-bruckner-1824,"Bruckner was deeply influenced by Wagner's harmonic language and orchestration, and he admired Wagner's operatic and symphonic innovations.",0.90,1.00,0.30,pending
franz-joseph-haydn-1732,anton-bruckner-1824,"Bruckner's symphonic structure and development show the influence of the Classical tradition, particularly Haydn's formal clarity and development techniques.",0.60,0.80,0.50,pending
ludwig-van-beethoven-1770,anton-bruckner-1824,"Beethoven's symphonic innovations and dramatic intensity were foundational to Bruckner's approach to symphonic writing.",0.80,1.00,0.40,pending
franz-schubert-1797,anton-bruckner-1824,"Bruckner was influenced by Schubert's lyrical melodies and harmonic richness, which informed his own melodic and harmonic style.",0.70,0.90,0.50,pending
carl-maria-von-weber-1786,anton-bruckner-1824,"Weber's early Romantic orchestration and dramatic style influenced Bruckner's symphonic and choral works.",0.50,0.70,0.60,pending
ludwig-van-beethoven-1770,johann-strauss-jr-1825,"Beethoven's innovations in orchestration and form influenced the broader Viennese musical tradition that Strauss Jr inherited.",0.60,0.90,0.50,pending
franz-schubert-1797,johann-strauss-jr-1825,"Schubert's melodic style and Viennese waltz tradition directly shaped Strauss Jr's approach to dance music.",0.80,0.95,0.30,pending
johann-nepomuk-hummel-1778,johann-strauss-jr-1825,"Hummel's piano and orchestral works influenced the Viennese light music style that Strauss Jr developed.",0.50,0.80,0.60,pending
johann-strauss-jr-1825,johann-strauss-jr-1825,"Johann Strauss Sr., his father, was a direct and primary influence on his musical style and career.",1.00,1.00,0.20,pending
jacques-offenbach-1819,johann-strauss-jr-1825,"Offenbach's operetta style influenced Strauss Jr's own operettas and light theatrical music.",0.70,0.85,0.40,pending
richard-wagner-1813,karl-goldmark-1830,"Goldmark was influenced by Wagner's harmonic language and orchestration, reflecting the late Romantic style prevalent in his works.",0.80,0.90,0.40,pending
franz-liszt-1811,karl-goldmark-1830,"Liszt's innovations in piano and orchestral music influenced Goldmark's compositional approach and thematic development.",0.60,0.80,0.50,pending
johannes-brahms-1833,karl-goldmark-1830,"Brahms' structural clarity and Romantic idiom had an impact on Goldmark's symphonic and chamber music style.",0.50,0.70,0.50,pending
anton-bruckner-1824,karl-goldmark-1830,"Bruckner's expansive symphonic form and rich harmonic textures influenced Goldmark's orchestral writing.",0.50,0.70,0.50,pending
mikhail-ivanovich-glinka-1804,alexander-borodin-1833,"Glinka is considered the father of Russian classical music and directly influenced Borodin's nationalist style and use of Russian folk themes.",0.90,1.00,0.30,pending
mily-balakirev-1837,alexander-borodin-1833,"Balakirev was a mentor and leader of 'The Five,' a group including Borodin, promoting Russian nationalist music and influencing Borodin's compositional style.",0.95,1.00,0.20,pending
franz-liszt-1811,alexander-borodin-1833,"Liszt's innovations in harmony and orchestration influenced Borodin's symphonic and piano writing.",0.60,0.80,0.50,pending
richard-wagner-1813,alexander-borodin-1833,"Wagner's use of leitmotifs and chromatic harmony had an impact on Borodin's operatic and orchestral works.",0.70,0.90,0.60,pending
pyotr-ilyich-tchaikovsky-1840,alexander-borodin-1833,"Tchaikovsky and Borodin were contemporaries who influenced each other, with Tchaikovsky's melodic style impacting Borodin's compositions.",0.70,0.85,0.40,pending
ludwig-van-beethoven-1770,johannes-brahms-1833,"Brahms was deeply influenced by Beethoven's symphonic and chamber music, often seen as a successor to Beethoven's classical tradition.",0.90,1.00,0.30,pending
robert-schumann-1810,johannes-brahms-1833,"Schumann was a key early supporter and mentor to Brahms, influencing his Romantic style and compositional approach.",0.80,1.00,0.40,pending
johann-sebastian-bach-1685,johannes-brahms-1833,"Bach's contrapuntal techniques and formal structures were foundational to Brahms's compositional style.",0.70,1.00,0.30,pending
franz-schubert-1797,johannes-brahms-1833,"Schubert's lyrical melodies and song forms influenced Brahms's vocal and instrumental writing.",0.60,0.90,0.40,pending
felix-mendelssohn-1809,johannes-brahms-1833,"Mendelssohn's classical clarity and revival of earlier music inspired Brahms's blend of tradition and Romanticism.",0.50,0.80,0.50,pending
johannes-ockeghem-1420,johannes-brahms-1833,"Brahms admired early Renaissance polyphony, including Ockeghem's work, which influenced his contrapuntal writing.",0.30,0.70,0.70,pending
franz-liszt-1811,camille-saint-saens-1835,"Saint-Saëns was influenced by Liszt's virtuosic piano style and innovative harmonic language, which shaped his own compositional approach.",0.80,0.90,0.40,pending
richard-wagner-1813,camille-saint-saens-1835,"Wagner's dramatic orchestration and leitmotif technique influenced Saint-Saëns, though he maintained a more classical clarity in his works.",0.60,0.85,0.60,pending
franz-schubert-1797,camille-saint-saens-1835,"Schubert's melodic lyricism and formal structures were important models for Saint-Saëns's melodic and chamber music writing.",0.70,0.80,0.30,pending
felix-mendelssohn-1809,camille-saint-saens-1835,"Mendelssohn's balance of classical form and romantic expressiveness influenced Saint-Saëns's compositional style and orchestration.",0.70,0.85,0.40,pending
giuseppe-verdi-1813,camille-saint-saens-1835,"Verdi's operatic drama and melodic invention had an impact on Saint-Saëns's operatic works and dramatic sensibility.",0.50,0.75,0.50,pending
charles-gounod-1818,camille-saint-saens-1835,"Gounod's melodic style and religious compositions influenced Saint-Saëns, especially in his sacred music.",0.60,0.80,0.40,pending
carl-maria-von-weber-1786,camille-saint-saens-1835,"Weber's early romantic operatic style and orchestration influenced Saint-Saëns's approach to opera and tone color.",0.40,0.70,0.50,pending
johannes-brahms-1833,camille-saint-saens-1835,"Brahms's adherence to classical forms and rich harmonic language influenced Saint-Saëns's symphonic and chamber music.",0.60,0.80,0.40,pending
gabriel-faure-1845,camille-saint-saens-1835,"Faure was a student and close associate of Saint-Saëns, and their musical ideas influenced each other, especially in melodic refinement and harmonic subtlety.",0.50,0.90,0.30,pending
mikhail-ivanovich-glinka-1804,cesar-cui-1835,"Glinka is considered the father of Russian classical music and significantly influenced Cui as a member of the Russian Five, promoting a nationalistic Russian style.",0.90,1.00,0.30,pending
alexander-borodin-1833,cesar-cui-1835,"Borodin, a fellow member of the Russian Five, influenced Cui through shared ideals of Russian nationalism and folk-inspired music.",0.80,1.00,0.40,pending
modest-mussorgsky-1839,cesar-cui-1835,"Mussorgsky's innovative harmonic language and Russian nationalist themes influenced Cui's compositional style.",0.70,0.90,0.50,pending
nikolai-rimsky-korsakov-1844,cesar-cui-1835,"Rimsky-Korsakov, another member of the Russian Five, influenced Cui with his orchestration techniques and Russian folk elements.",0.80,1.00,0.40,pending
richard-wagner-1813,cesar-cui-1835,"Wagner's harmonic innovations and dramatic style influenced Cui, especially in his operatic works.",0.60,0.80,0.60,pending
giuseppe-verdi-1813,leo-delibes-1836,"Verdi's operatic style and melodic richness influenced Delibes's approach to opera and ballet music.",0.70,0.90,0.40,pending
charles-gounod-1818,leo-delibes-1836,"Gounod's lyricism and harmonic language had a notable impact on Delibes's melodic and harmonic style.",0.60,0.80,0.50,pending
jacques-offenbach-1819,leo-delibes-1836,"Offenbach's operetta style and lightness influenced Delibes's ballets and operettas in terms of charm and wit.",0.50,0.70,0.50,pending
franz-liszt-1811,leo-delibes-1836,"Liszt's orchestration and thematic transformation techniques influenced Delibes's orchestral writing.",0.40,0.70,0.60,pending
richard-wagner-1813,leo-delibes-1836,"Wagner's harmonic innovations and leitmotif techniques had some influence on Delibes's dramatic music, though Delibes maintained a more classical style.",0.30,0.60,0.70,pending
giuseppe-verdi-1813,antonio-carlos-gomes-1836,"Gomes was heavily influenced by Verdi's operatic style, particularly in his use of Italianate melodic lines and dramatic structures.",0.90,0.95,0.30,pending
richard-wagner-1813,antonio-carlos-gomes-1836,"Wagner's innovations in harmony and orchestration influenced Gomes, especially in his later operas where more complex textures appear.",0.60,0.80,0.50,pending
charles-gounod-1818,antonio-carlos-gomes-1836,"Gounod's lyricism and melodic style had an impact on Gomes's operatic writing, contributing to his melodic expressiveness.",0.50,0.70,0.40,pending
mikhail-ivanovich-glinka-1804,mily-balakirev-1837,"Glinka is considered the father of Russian classical music and directly influenced Balakirev's nationalist style and his efforts to create a distinct Russian musical identity.",0.90,1.00,0.30,pending
franz-liszt-1811,mily-balakirev-1837,"Liszt's innovations in piano technique and programmatic music influenced Balakirev's compositional style and his virtuosic piano works.",0.70,0.90,0.40,pending
richard-wagner-1813,mily-balakirev-1837,"Wagner's harmonic language and use of leitmotifs influenced Balakirev and the Russian nationalist composers associated with 'The Five'.",0.60,0.85,0.50,pending
alexander-borodin-1833,mily-balakirev-1837,"Borodin was a close associate and member of 'The Five' alongside Balakirev, sharing mutual influence in developing Russian nationalist music.",0.80,0.95,0.30,pending
cesar-cui-1835,mily-balakirev-1837,"Cui was part of 'The Five' and influenced Balakirev through their shared goals of promoting Russian folk elements in classical music.",0.70,0.90,0.40,pending
modest-mussorgsky-1839,mily-balakirev-1837,"Mussorgsky, another member of 'The Five', was influenced by Balakirev's ideas on Russian musical nationalism and compositional techniques.",0.70,0.90,0.40,pending
nikolai-rimsky-korsakov-1844,mily-balakirev-1837,"Rimsky-Korsakov was mentored by Balakirev and influenced by his leadership in the nationalist movement and compositional style.",0.85,1.00,0.30,pending
charles-gounod-1818,georges-bizet-1838,"Gounod was a prominent French composer whose melodic style and operatic works influenced Bizet's approach to lyricism and drama in opera.",0.70,0.90,0.40,pending
jacques-offenbach-1819,georges-bizet-1838,"Offenbach's operettas and light-hearted style influenced Bizet's sense of theatricality and orchestration, especially in his early works.",0.60,0.80,0.50,pending
hector-berlioz-1803,georges-bizet-1838,"Berlioz's innovative orchestration and dramatic intensity had a significant impact on Bizet's compositional style, particularly in his use of the orchestra.",0.80,0.95,0.30,pending
giuseppe-verdi-1813,georges-bizet-1838,"Verdi's mastery of Italian opera and dramatic expression influenced Bizet's operatic writing, especially in terms of structure and vocal writing.",0.70,0.85,0.40,pending
camille-saint-saens-1835,georges-bizet-1838,"Saint-Saëns, a contemporary and friend, influenced Bizet through his classical approach and refinement in orchestration and form.",0.60,0.90,0.40,pending
ludwig-van-beethoven-1770,max-bruch-1838,"Beethoven's symphonic and structural innovations deeply influenced Bruch's compositional style, especially in his orchestral works.",0.90,1.00,0.30,pending
felix-mendelssohn-1809,max-bruch-1838,"Mendelssohn's lyrical melodies and classical-romantic balance were a major influence on Bruch's melodic and harmonic language.",0.85,1.00,0.30,pending
robert-schumann-1810,max-bruch-1838,"Schumann's romantic expressiveness and piano works influenced Bruch's emotional depth and compositional approach.",0.80,0.90,0.40,pending
johannes-brahms-1833,max-bruch-1838,"Brahms' mastery of form and rich harmonic language influenced Bruch's orchestral and chamber music.",0.85,1.00,0.35,pending
richard-wagner-1813,max-bruch-1838,"Wagner's dramatic intensity and chromaticism had some influence on Bruch's operatic and orchestral writing.",0.60,0.80,0.60,pending
camille-saint-saens-1835,max-bruch-1838,"Saint-Saëns' classical clarity combined with romantic expressiveness influenced Bruch's compositional style.",0.70,0.80,0.40,pending
mikhail-ivanovich-glinka-1804,modest-mussorgsky-1839,"Glinka is considered the father of Russian classical music and directly influenced Mussorgsky's nationalistic style and use of Russian folk themes.",0.90,1.00,0.30,pending
mily-balakirev-1837,modest-mussorgsky-1839,"Balakirev was a mentor and leader of 'The Five,' encouraging Mussorgsky to develop a distinctly Russian musical voice.",0.85,1.00,0.40,pending
nikolai-rimsky-korsakov-1844,modest-mussorgsky-1839,"Rimsky-Korsakov was a contemporary and colleague who influenced Mussorgsky's orchestration and compositional techniques.",0.70,0.90,0.50,pending
franz-liszt-1811,modest-mussorgsky-1839,"Liszt's innovations in piano music and programmatic composition influenced Mussorgsky's approach to musical storytelling and harmonic language.",0.60,0.80,0.60,pending
richard-wagner-1813,modest-mussorgsky-1839,"Wagner's dramatic and harmonic innovations impacted Mussorgsky's operatic style and use of leitmotifs.",0.50,0.70,0.70,pending
ludwig-van-beethoven-1770,pyotr-ilyich-tchaikovsky-1840,"Tchaikovsky was deeply influenced by Beethoven's symphonic and structural innovations, which shaped his approach to large-scale orchestral works.",0.90,1.00,0.30,pending
franz-schubert-1797,pyotr-ilyich-tchaikovsky-1840,"Schubert's lyrical melodies and song forms influenced Tchaikovsky's melodic writing and his approach to vocal and instrumental lyricism.",0.70,0.90,0.40,pending
felix-mendelssohn-1809,pyotr-ilyich-tchaikovsky-1840,"Mendelssohn's clarity, elegance, and orchestration style were important models for Tchaikovsky's early symphonic and ballet compositions.",0.60,0.80,0.50,pending
robert-schumann-1810,pyotr-ilyich-tchaikovsky-1840,"Schumann's Romantic expressiveness and piano works influenced Tchaikovsky's emotional depth and piano compositions.",0.60,0.80,0.50,pending
franz-liszt-1811,pyotr-ilyich-tchaikovsky-1840,"Liszt's virtuosic piano style and programmatic music inspired Tchaikovsky's piano works and his use of thematic transformation.",0.50,0.70,0.60,pending
richard-wagner-1813,pyotr-ilyich-tchaikovsky-1840,"Wagner's harmonic innovations and leitmotif technique influenced Tchaikovsky's orchestration and thematic development, though Tchaikovsky maintained a more traditional tonal approach.",0.70,0.90,0.50,pending
mikhail-ivanovich-glinka-1804,pyotr-ilyich-tchaikovsky-1840,"Glinka is considered the father of Russian classical music and his nationalist style strongly influenced Tchaikovsky's incorporation of Russian folk elements.",0.80,1.00,0.40,pending
alexander-borodin-1833,pyotr-ilyich-tchaikovsky-1840,"Borodin's use of Russian folk themes and rich orchestration influenced Tchaikovsky's nationalist tendencies and symphonic style.",0.70,0.90,0.40,pending
nikolai-rimsky-korsakov-1844,pyotr-ilyich-tchaikovsky-1840,"Rimsky-Korsakov's mastery of orchestration and Russian nationalist style influenced Tchaikovsky's orchestral color and thematic material.",0.70,0.90,0.40,pending
johannes-brahms-1833,pyotr-ilyich-tchaikovsky-1840,"Brahms' structural rigor and Romantic idiom influenced Tchaikovsky's symphonic writing and formal development.",0.60,0.80,0.50,pending
